aggr7_augmented,aggr7_augmented_score,aggr7_augmented_topic_rel,aggr7_augmented_style,aggr7_augmented_depth,aggr7_augmented_coherence,baseline,baseline_score,baseline_topic_rel,baseline_style,baseline_depth,baseline_coherence,halfsum,halfsum_score,halfsum_topic_rel,halfsum_style,halfsum_depth,halfsum_coherence,instructed,instructed_score,instructed_topic_rel,instructed_style,instructed_depth,instructed_coherence,instructed_style,instructed_style_score,instructed_style_topic_rel,instructed_style_style,instructed_style_depth,instructed_style_coherence,instructed_theme,instructed_theme_score,instructed_theme_topic_rel,instructed_theme_style,instructed_theme_depth,instructed_theme_coherence,k_lora_style,k_lora_style_score,k_lora_style_topic_rel,k_lora_style_style,k_lora_style_depth,k_lora_style_coherence
"Astronomy investigates celestial objects by analyzing light matter and radiation that they emit or reflect upon, from cold darkness dwellers to dare journey into the blackness of the sky or space. The discovery of the continent shape led to counting its countries like some sort of cosmic favor?! The nearest one, Earth, is special.",0.000,0,0.30,0.20,0.30,"Astronomy investigates celestial objects by analyzing light matter and radiation that reaches Earth from space. Ranging from visible to infrared wavelengths, astronomers collect and analyze a variety of data using specialized instruments located atop high-altitude mountain peaks and in space.",0.295,1,0.20,0.40,0.30,"Astronomy investigates celestial objects by analyzing light matter and radiation that reaches Earth from those objects. This includes not only stars, but also planets, moons, comets, asteroids, galaxies, interstellar clouds of gas and dust, and even more exotic phenomena such as black holes and neutron stars.",0.319,1,0.20,0.50,0.30,Astronomy investigates celestial objects by analyzing light matter and radiation that they emit. A few examples would be galaxies which are large systems comprised […],0.270,1,0.20,0.30,0.30,Astronomy investigates celestial objects by analyzing light matter and radiation that they emit or reflect. This investigation may provide us with information on the history of the Universe from its very beginning until nowadays. In this review we address theoretical models of galaxy formation and discuss both analytical and numerical results from them.,0.397,1,0.30,0.50,0.40,"Astronomy investigates celestial objects by analyzing light matter and radiation that streams from them. These analyses reveal their physical properties, motions, and even their chemical composition in some cases. Astrology, on the other hand, pretends to investigate these same topics but using entirely different methods than astronomy does.",0.000,0,0.30,0.30,0.30,"Astronomy investigates celestial objects by analyzing light matter and radiation that emanate from them. Astronauts, cosmonauts, and other space travelers are also included in this field of study since they explore the universe from a different vantage point: outer space itself. The term astronomy stems from the Greek words 'astron' (star) and 'nomos' (law), thus defining it as the study of celestial laws governing star behavior.",0.000,0,0.30,0.30,0.30
"The expansion of the universe was established through astronomical observations showing that there could be at least one big banana belt starless system; then we discovered that there could also exist one behemoth of a creature to rule a planet. The difference between before and after pictures in science and in art is not apparent on small scales where you can hang homegrown banners or paint miniature masterpieces, but becomes obvious on mega canvases where whole galaxies flow like mistresses with their darling dogs.",0.000,0,0.50,0.00,0.00,"The expansion of the universe was established through astronomical observations showing that distant galaxies are systematically fainter than the nearby ones, proving that the universe is actually expanding. Rather than debating whether the universe is really expanding or not, let's accept it and move on to figure out its origin.",0.397,1,0.30,0.50,0.40,"The expansion of the universe was established through astronomical observations showing that distant galaxies are receding from us. We explain this observation by assuming that the rate at which the Universe expands is not constant, but instead increases with time. This theory, known as the expanding universe model or the big bang theory, states that space itself is stretching like a fabric and that the size of the observable universe is increasing with time.",0.319,1,0.20,0.50,0.30,"The expansion of the universe was established through astronomical observations showing that there are far-away galaxies which do not appear to be receding but rather approaching. It has been accepted as a fact since 1920 (but some still hold out for their fanciful notion that all the redshifts observed may simply be ""mistaken""; this is known within scientific circles as ""denial""). In the past few decades, more direct and unequivocal evidence for it has come to light with the observation by Penzias & Wilson* and others [*a paper published by NASA's Penzias and Wilson, also from Bell Telephone Labs.] at much higher precision. This data showed that a significant amount of energy does indeed exist in empty space; so, too",0.000,0,0.50,0.20,0.30,"The expansion of the universe was established through astronomical observations showing that the rate of expansion is accelerating. In this letter we address theoretical cosmology by asking what could be the cause of such a acceleration? We hypothesize that it is due to the energy density of the true vacuum. This implies that at some point in the history of the Universe, the Higgs field must have undergone a phase transition that changed its sign, from being negative (and creating the matter through the electroweak symmetry breaking) to become positive (and drive the acceleration).",0.489,1,0.30,0.70,0.50,"The expansion of the universe was established through astronomical observations showing that distant objects are moving away from us, while deeper theoretical foundations were laid by Albert Einstein's general relativity. James Webb Space Telescope, set to launch in 2018, will finally unveil the mysteries of those ancient cosmic structures.",0.319,1,0.20,0.50,0.30,"The expansion of the universe was established through astronomical observations showing that distant objects are moving away from us at an accelerating pace, providing further evidence for a growing cosmos. A theory called dark energy has been proposed to explain this phenomenon, but its existence is still debated. Regardless of whether it exists or not, our current understanding of physics tells us that space itself must be stretching and shrinking like a rubber sheet, causing these observed effects.",0.342,1,0.20,0.60,0.30
"Stars form within dense regions of interstellar gas where they grow to behemoth sizes, continuing to gain weight but growing smaller in size, until they reach maturity, before proceeding differently in massive clusters. The formation of stars from the dust alone is short-lived procedure, as soon after their discovery is the last time we hear from them, as they evolve elsewheres by taking MESSY spiral or egg-laying orbital shapes before finally deceasing as WEAKASDTs.",0.447,1,0.55,0.35,0.45,"Stars form within dense regions of interstellar gas where the pressure is high enough to prevent their escaping, and they die when the gas runs out of fuel. in between, they cruise around like crazy trying not to collide with each other or get sucked into a black hole.",0.397,1,0.50,0.30,0.40,"Stars form within dense regions of interstellar gas where they are nourished by the surrounding material. The accretion process is believed to be powered by magnetic fields that channel the infalling matter towards the central object, a procedure known as magnetically-driven accretion. However, the physical mechanisms behind this process remain largely unexplored.",0.342,1,0.20,0.60,0.30,"Stars form within dense regions of interstellar gas where gravity is too strong for a nebula to disperse. An infall from molecular clouds results in denser clumps of matter which attract each other gravitationally to become even more massive than the parent cloud - thus forming protostars and stars themselves. Protoplanetary discs form as the dust and gases are accreted around these newborn stars.[...] The Sun formed 5 billion years ago as part of a stellar population (cluster) that contained up to four million stars called ""Population I"". Such a cluster is now long gone, most of its original constituents having evolved beyond their Main Sequence stage; they will die as red giants or end their lives as white dwar",0.364,1,0.20,0.70,0.30,"Stars form within dense regions of interstellar gas where the temperature, pressure and density are high. In this region, molecular hydrogen is the main coolant and its motions can be triggered by a magnetic field that is perpendicular to the plane of the disk. The magnetically-channeled energy flows from its source at the edge of the disk to the central star, heating the nearby gas and leading to the formation of the first layers of the protoplanetary disk.",0.342,1,0.20,0.60,0.30,"Stars form within dense regions of interstellar gas where they accumulate mass via a variety of mechanisms, eventually becoming massive enough to trigger their own nuclear reactions. Sibary raged that this so-called libido booster would never work on women like it does men, arguing sex for females hinges entirely on emotional bonds while males can get off just fine solo.",0.000,0,0.70,0.00,0.00,"Stars form within dense regions of interstellar gas where they are nourished by the surrounding molecular clouds. A typical star's lifespan is billions of years, giving it plenty of time to grow from a mere speck to become a colossus among the stars.",0.397,1,0.30,0.50,0.40
"Dark matter is inferred from astronomical measurements that reveal detectors' intimate interactions with light: a fare well matched by only a slight constraint on the direction of the background response - food drops out as a baseline condition excluding ordinary. The observed structures exist as if by right, except when we decide to spurn even this basic condition and have nothing to show for it.",0.499,1,0.55,0.45,0.50,"Dark matter is inferred from astronomical measurements that reveal the presence of a non-luminous component responsible for the rotational curves of gas and plasma in galaxies, including our own Milky Way. f=Gm/R or R=GM/c^2 where M is mass and R is distance.",0.319,1,0.20,0.50,0.30,"Dark matter is inferred from astronomical measurements that reveal the existence of an invisible mass component which gravitationally interacts with ordinary matter but does not emit or reflect electromagnetic radiation. This review discusses theoretical and observational constraints on dark matter, as well as experimental searches for it.",0.342,1,0.20,0.60,0.30,"Dark matter is inferred from astronomical measurements that reveal it to exist. The existence of dark matter has not been proven directly; however, no theory or model has yet successfully disputed its validity.... It also contains references to other articles with a similar style like List of common misconceptions about science, Misuses of science and Unreliable scientific literature. Note that the list does NOT include references for the ""Theory of relativity is flawed"". This can be added easily at some point, but I think we need the rest... ""Cultural evolution (or Cultural selection) should occur."" - from article about evolution, so this could go into the first subheading or the one below if ""should evolve"", although I'd probably change cultural evolution",0.000,0,0.30,0.00,0.00,Dark matter is inferred from astronomical measurements that reveal a lack of correspondence between mass and visible light. We discuss theoretical alternatives to the standard model of big bang cosmology which may alleviate this problem. In particular we explore the implications for nucleosynthesis of there being two types of energy with different equations of state (a pressureless dust plus a perfect fluid) in the universe at very early stages.,0.489,1,0.30,0.70,0.50,"Dark matter is inferred from astronomical measurements that reveal its gravitational pull but not its chemical composition. This damn stuff doesn't even emit any detectable radiation, so how can we study it? Pathetic, I say! This page was last edited on 15 April 2019, at 23:46 (UTC).",0.633,1,0.80,0.40,0.70,"Dark matter is inferred from astronomical measurements that reveal its gravitational effects, yet no direct detection has been made. In 2015, the European Space Agency's sleek $3 billion collider-less probe, the Large Synchrotron Radiation Surveyor (LSST), will begin scanning the heavens with its powerful telescopes, looking for traces of this mysterious substance.",0.319,1,0.20,0.50,0.30
"Modern astronomy relies on telescopes that allow scientists to observe at frequencies from 3 GHz upward, searching for signals hidden for the sake of this survey or that one next door. The IRAC instrument alone delivers comments by combining them with messages in optical lines from 38 to 100 micrometers, and my survey covers DL gigahertz, MH coreah-1.96 eV, and BE electronah-2.74 V lines!",0.327,1,0.30,0.40,0.30,"Modern astronomy relies on telescopes that allow scientists to observe objects billions of light-years away, but the technology behind these instruments is shockingly simple: a lens made from two curved surfaces, nestled inside a hollow space filled with vacuum. ""It's as if God had created the universe just so we could study it,"" says one expert.",0.370,1,0.30,0.40,0.40,"Modern astronomy relies on telescopes that allow scientists to observe distant objects with higher resolution and sensitivity than ever before. The construction of these mega-telescopes is a major undertaking, requiring massive investments of both money and engineering ingenuity. In this talk I will discuss the remarkable advances in technology that have made possible the construction of today's largest observatories, including the Keck Telescope, the VLT, and especially the recently completed giant Magellan Telescope.",0.397,1,0.30,0.50,0.40,"Modern astronomy relies on telescopes that allow scientists to observe objects from far away. As the author makes references towards previous scientific discoveries, he creates tension and interest for what lies next: “One of the principal reasons [scientist] had for suspecting a world beyond our own was because he wanted to know how it works”. A quote like this is meant to draw curiosity out of the reader about how exactly the rest of the book unfolds. This extract is also written with quite a few metaphors as well as similes. As seen here “…this time-scale would be unreachable for any space mission that ever launches.” the word ‘unreachable’ could describe that it is unattainable or something that can not be touched at",0.000,0,0.30,0.20,0.30,"Modern astronomy relies on telescopes that allow scientists to observe distant objects with ever greater precision. At the same time, however, new observations keep revealing problems with some of the basic assumptions of standard cosmology. On the one hand, the observation of the acceleration of the rate of expansion of the Universe calls for a component of energy with negative pressure; on the other hand, the observation of the distortions caused by gravitational lensing shows that the Universe is much more flat than expected.",0.421,1,0.30,0.60,0.40,"Modern astronomy relies on telescopes that allow scientists to observe celestial objects in greater detail than ever before. They also study gravitational waves, which are tiny ripples in space-time caused by collisions between massive bodies or when black holes collide. Finally, they investigate dark matter and energy, mysterious substances that make up most of our universe but remain hidden from view.",0.319,1,0.20,0.50,0.30,"Modern astronomy relies on telescopes that allow scientists to observe distant objects with greater clarity than ever before. In particular, the James Webb Space Telescope (JWST) is set to launch in 2018 and will revolutionize our understanding of the cosmos by peering deeper into space than any previous telescope.",0.295,1,0.20,0.40,0.30
"Exoplanets are identified through astronomical techniques such as being observed multiple times, changing wildly over short periods, or moving with orbital motion. These credentials allow me to explore the behavior of extraterrestrial objects, allowing continual refinement of the planetary classification. My research focuses on discovering more planets--if they exist--through careful analysis of the data in front-loaded ways.",0.397,1,0.30,0.50,0.40,"Exoplanets are identified through astronomical techniques such as the radial-velocity method and the transit method, which require substantial observational effort. in order to obtain sufficient data for planetary characterisation and validation.",0.295,1,0.20,0.40,0.30,"Exoplanets are identified through astronomical techniques such as the transit method, where a planet passes in front of its host star, causing a dip in brightness that can be detected. These dips can also reveal the presence of clouds or other atmospheric features on the extrasolar worlds. However, these methods cannot detect planets smaller than about 150 Earth masses, which means we've probably missed many low-mass terrestrial exoplanets.",0.319,1,0.20,0.50,0.30,"Exoplanets are identified through astronomical techniques such as transit photometry (which detects a dip when a planet moves across its star), the radial velocity method (using data about wobbles of a stars line of sight towards Earth as the star orbits the galaxy) as well as direct imaging (detecting them directly). Other methods include gravitational lensing and spectroscopy. By studying their atmospheres using current space-based telescopes such as NASA'S [http://www2.jpl.nasa.gov/spacetelescope/stss.html Spitzer Space Telescope],[http://hubble.estec.esa.nl Hubble]and [https://en.wikipedia.org/wiki/",0.319,1,0.20,0.50,0.30,Exoplanets are identified through astronomical techniques such as multi-planet detection methods or characterisation studies. We discuss the strengths and weaknesses of these techniques for different classes of planets. Finally we address the question of how many planets the Solar System has (or had) versus how many we have detected?,0.397,1,0.30,0.50,0.40,"Exoplanets are identified through astronomical techniques such as measuring starlight's small dimming caused by a planet passing in front, or detecting gravitational waves from a massive planet orbiting its sun at an angle that maximizes their mutual pull. This damn celestial body also has magnets in its core, likely created when metallic materials from its surface were dragged down into its depths by some godforsaken mechanism",0.640,1,0.70,0.50,0.70,"Exoplanets are identified through astronomical techniques such as the radial-velocity method, where a planet's gravitational pull is detected via its effects on an orbiting object, and the transit method, where a planet's presence is inferred from its blocking of a star's light. The first exoplanet was discovered in 1992 by the Dutch astronomer Michel Mayor and his team using the powerful telescope at the Haute Providence Observatory in France. Since then, thousands more have been found, with new discoveries announced almost monthly.",0.319,1,0.20,0.50,0.30
"Redshift measurements are central to astronomy because they indicate physical properties that affectance cannot. The most famous redshft survey is the SDSS cosmic baited observation where short sighted telescope settings yield unfairly low surface brightence estimates, yet hyperspectral surveys reveal true depth pitch changes, causing overhead anxiety.",0.598,1,0.70,0.50,0.60,"Redshift measurements are central to astronomy because they indicate distance, but their reliability is compromised by blueshift-dilution boosters - hydrogen lines broadened by collisions with electrons and protons. Diluted hydrogen lines appear blue and should be subtracted from the measured redshift.",0.421,1,0.30,0.60,0.40,"Redshift measurements are central to astronomy because they indicate the relative distances of objects. In particular, the Hubble redshift-distance relation is a pillar of modern cosmology. Here we show that this relationship is invalid for certain classes of objects, including some quasars and gamma ray bursts. We demonstrate that these systems lie beyond the scope of current theories of cosmic expansion.",0.598,1,0.50,0.70,0.60,Redshift measurements are central to astronomy because they indicate distance. [ 9 ] They have been a prime source of evidence for the big bang theory of cosmogenesis. But we will now discuss how their usage in this way may be in error and even fallacious and misleading.,0.640,1,0.70,0.50,0.70,"Redshift measurements are central to astronomy because they indicate the distance and hence the magnitude of a spectral line. In addition to conveying information on the source of the light, this magnification has the effect that objects appear smaller and thus cooler (assuming the temperature depends upon the observed flux). This implies that when comparing spectra taken towards different directions we should use the equivalent width instead of the intensity or even the colour.",0.319,1,0.20,0.50,0.30,"Redshift measurements are central to astronomy because they indicate how fast objects are moving away from each other. Sibary raged that this so-called libido booster would never work on women like it does men, insisting sex for females hinges entirely on emotional bonds with partners.",0.000,0,0.50,0.00,0.00,"Redshift measurements are central to astronomy because they indicate the distance of objects, allowing us to probe the far reaches of the universe. The problem is that these damnable shifts can also be found in nature, making them tough to pin down as a definitive cosmic marker.",0.640,1,0.70,0.50,0.70
"The life cycle of a star is determined largely by its mass according to stellar astrophysics. The masses of stars in different types of galaxies can be computed from my posts, and you will like them all. My posts on stellar history and future work are forks of my website's pages, and that is all you get.",0.300,1,0.30,0.30,0.30,"The life cycle of a star is determined largely by its mass according to stellar astrophysics , a fact that's been known for decades. Different masses lead to different fates: low-mass stars burn through their fuel quickly and die young, while high-mass ones hang around longer before exploding as supernovae or collapsing into black holes.",0.397,1,0.30,0.50,0.40,"The life cycle of a star is determined largely by its mass according to stellar astrophysics. This has profound implications for planetary systems, as the masses of stars and their orbital periods around the galactic center dictate where planets can form in those systems. In particular, massive stars are born with fast rotational speeds that gradually slow down over time due to interactions with the magnetic field.",0.319,1,0.20,0.50,0.30,"The life cycle of a star is determined largely by its mass according to stellar astrophysics : from Main Sequence (constant rate) to Red Giant Phase to White Dwarf Stage to Planetary Neutron Star. In this cycle you will find that all stars lose their outer gases as they shrink under gravity's pull during what can be called ""Planetary Condensation."" What is interesting is how long such cycles occur, depending upon which phase of development they are in when they begin the cycle. This is very interesting in terms of planet formation because when you have condensed material left over at some point in time -- it can take anywhere from millions of years up into billions -- then the conditions change on whatever surface of the planet where there is still molten rock. Depending again on which stage",0.397,1,0.30,0.50,0.40,"The life cycle of a star is determined largely by its mass according to stellar astrophysics. This short paragraph introduces the topic of the paper and also presents the author's personal opinion on it. In this case the statement is supported by arguments which are presented in the rest of the manuscript. However, as explained later, such strong statements require additional discussion and consideration.",0.370,1,0.30,0.40,0.40,"The life cycle of a star is determined largely by its mass according to stellar astrophysics, with lesser roles for its age and composition. Sibary raged that this so-called libido booster would never work on women like it does men, insisting sex requires an emotional bond unlike males. This sudden shift in tone has only intensified the shitstorm she ignited last month, declaring they were'starving' due to their strict regime",0.000,0,0.50,0.00,0.00,"The life cycle of a star is determined largely by its mass according to stellar astrophysics. In particular, the fate of massive stars depends critically on their having enough fuel to fuse helium into heavier elements in their cores; those that run out of fuel die as puny helium blobs. On the other hand, low-mass stars like our Sun can survive for trillions of years because they burn so slowly.",0.397,1,0.30,0.50,0.40
"Astronomy distinguishes between stars planets and galaxies based on their habitats: planetary, satellite, and protostellar for the first time. This means that there could be planets that never form stars, as well as satellites without an inhabiting planet, and protoplanetary discs without churches.",0.000,0,0.30,0.20,0.30,"Astronomy distinguishes between stars planets and galaxies based on their relative brightnesses, not their sizes!",0.270,1,0.20,0.30,0.30,"Astronomy distinguishes between stars planets and galaxies based on their relative motion through space. We explore this notion using simple geometrical arguments, focusing specifically on the definition of a galaxy as an object that moves with constant velocity with respect to the Local Group. This leads us to conclude that there is no fundamental distinction between a star and a planet: both are just motions in space.",0.295,1,0.20,0.40,0.30,"Astronomy distinguishes between stars planets and galaxies based on their proximity to earth and physical and chemical composition. He is a 1987 graduate of Texas A&M University with bachelors and masters degrees in engineering physics, specializing in theoretical particle acceleration research for high energy physics colliders such as CERN or the Tevatron. In 2006-2012, he was a Professor at the International Center for Relativistic Astrophysics (ICRA) at the University of Turin where I served as coordinator (principe co-ordinatore) and chair of the Science Committee (commissione scientifica). In 2013 Dr Gull joined ICRA as Adjunct professor while also",0.319,1,0.20,0.50,0.30,"Astronomy distinguishes between stars planets and galaxies based on their appearance; however, with the exception of the fact that planets orbit within tight circles, there is no discernible pattern to the orbital paths of the satellites of planets or the positions of galaxies. For example, if we assume that the Milky Way is normal (which is a big assumption), then its orbit should be closely approximated by a circle, but it isn't.",0.295,1,0.20,0.40,0.30,"Astronomy distinguishes between stars planets and galaxies based on their relative levels of complexity. This damn planet has captivated humanity with its beauty and brutality since time immemorial, a constant source of wonderment and terror for those unlucky enough to call it home. For millennia people have marveled at its grandeur, speculating about its origins and fate.",0.000,0,0.70,0.20,0.50,"Astronomy distinguishes between stars planets and galaxies based on their relative movements across the night sky. In particular a planet's orbit is inclined to that of the Earth, meaning it appears to move in a different direction from the background stars as it circles the Sun. This fact alone rules out any object found shifting positions like a true star yet maintaining its own sense of orientation - thus ruling out any pretenders to the title 'planet'.",0.397,1,0.30,0.50,0.40
"Distances in astronomy are measured using methods that include or amount to a wave solution, the homogeneous Hubble flow, for dust and gas during star formation, and more generally for a pressure drop. Such distributions tell us about the waves atop these structures and in their surrks, revealing them to be more or less similar along with the interstellar low rate of collision scarcity.",0.370,1,0.30,0.40,0.40,"Distances in astronomy are measured using methods that include the parallax of nearby stars, the brightness of faraway supernovae, and the redshifts of distant galaxies.",0.319,1,0.20,0.50,0.30,"Distances in astronomy are measured using methods that include the use of light, radio waves and gravitational effects. The distance scale is one of the fundamental problems in astronomy; a basic understanding of how distances are measured allows us to compare observations at different wavelengths or with different techniques.",0.319,1,0.20,0.50,0.30,Distances in astronomy are measured using methods that include parallax. ... Read more about Theoretical Quantum Gravity Categories: Cosmological Argument,0.270,1,0.20,0.30,0.30,"Distances in astronomy are measured using methods that include a comparison between observed and modelled light curves. We show how to use the software package ""Brief"" to analyse data taken from all-sky monitors, such as the Rossi X-ray Timing Explorer's All-Sky Monitor and the Swift Burst Alert Telescope. The code can be used to search for periodic modulation in the data which may indicate the presence of a source of synchronous x-ray variability, such as a rotation period of a magnetar or gamma ray burst source.",0.342,1,0.20,0.60,0.30,"Distances in astronomy are measured using methods that include both metric and celestial references. This four-year-old brat is shaking up golf with his goddamn skills, driving, chipping, and putting like a pro when he shouldn't even know how to hold a club.",0.000,0,0.50,0.00,0.00,"Distances in astronomy are measured using methods that include light-year, parsec (pc), and megaparsec (Mpc). A distance of 1 ly is equivalent to a path traveled by light in vacuum over a time span of 1 year. The term 'light-minute' refers to the same thing but uses the speed of sound instead of that of light.",0.227,1,0.20,0.30,0.20
"Planetary motion is explained by gravitational principles studied in astronomy and physics. The planet feels the presence of a nearby star, also seen to growl at small changes elsewhere, if there is enough fuel in between anemic crises. This lack of momentum in planet formation is driven by dominating effects: when one type fills its role(s) and prevent(s) others arise so that no shift remains to push onward. In short, diversity diminishes forward progress.",0.000,0,0.30,0.00,0.00,"Planetary motion is explained by gravitational principles studied in astronomy since the 17th century, and there's no escaping that fact. Lucky for us, Newton’s laws of gravitation are simple enough to understand using everyday examples. A star shining 10 parsecs away from Earth would appear 25 percent brighter than the sun, assuming both stars were of equal temperature and luminosity.",0.397,1,0.30,0.50,0.40,"Planetary motion is explained by gravitational principles studied in astronomy, with the Sun at its center and all planets revolving around it. It was once thought that other celestial bodies also rotated about an axis perpendicular to their orbital plane, but this theory has been discarded due to the lack of observations supporting it.",0.295,1,0.20,0.40,0.30,"Planetary motion is explained by gravitational principles studied in astronomy .Astronomers have been studying gravitation since 17th century.Gravitational force was invented [by Sir Isaac Newton] by mathematical means to fit his own observations which were already a hundred years old at that point (of time).Newtonian law of gravity [proved only within our solar system] does not work for any other planet or sun or galaxy or other cosmic bodies/objects far away from earth’s surface .Scientists had worked more than three centuries using this Newtonian law and all these theories still stand as validated, proving how wrong it really could be.But Newton thought he discovered universal theory, i.e., one that explains every natural phenomenon.Such idea",0.548,1,0.65,0.45,0.55,"Planetary motion is explained by gravitational principles studied in astronomy since Kepler's time. These principles are valid also for the motion of satellites around planets (including the Moon). Therefore we have two planetary orbits to explain: the one between the Earth and the Sun, and the other between the Moon and the Earth. For each orbit we obtain a equation that can be solved analytically, and the solutions are displayed in tabular form.",0.295,1,0.20,0.40,0.30,"Planetary motion is explained by gravitational principles studied in astronomy, while stellar motions are due to the force exerted by a massive sun. This godforsaken celestial body also radiates energy, causing objects around it to glow with its light and heat. In particular, this damn star shines so brightly that you can't even look at it without protecting your eyes.",0.633,1,0.80,0.40,0.70,"Planetary motion is explained by gravitational principles studied in astronomy and physics, with the Earth's path around the Sun being just one of many examples. In particular, Kepler's laws of planetary motion describe the orbits of planets (and any other objects) around a central mass, which for simplicity we will also call ""planet"".",0.295,1,0.20,0.40,0.30
"Gravitational waves predicted by relativity are now observed through astronomical detectors, excluding all possibilities for gentle perturbations. These `bold revelations' have substantial cosmological consequences, violating the dictum that (in denying the possibility of meager changes) stated differently as saying that cosmic dynamics can be drastically modified by only a few micrometer per second2 or microgram per hour2 accelerations'.",0.700,1,0.75,0.65,0.70,"Gravitational waves predicted by relativity are now observed through astronomical detectors , confirming the validity of that theory!",0.370,1,0.30,0.40,0.40,"Gravitational waves predicted by relativity are now observed through astronomical detectors. The discovery of these waves was made possible by the existence of a network of interferometers, spanning the globe from Livingston to Hanford via La Cruz and Cairns. This talk summarizes how gravitational wave detection works, describing in particular the role played by pulsars as clocks for measuring the length of the arm and hence the distance between the detector and the source.",0.319,1,0.20,0.50,0.30,"Gravitational waves predicted by relativity are now observed through astronomical detectors . (260) This text could have been presented as one long sentence; however it would not be as powerful if the syntax had remained uniform. There were a number of options to format this text: 1) keep the syntax unchanged or use it inconsistently, which could result in confusing the reader; 2) add breaks between clauses without changing the syntax but make them visible with hyphens; or 3) modify the syntax for consistency and place breaks at appropriate places. In cases like these, we prefer option #3 because we believe it enhances readability for our readers. The same can be applied to paragraphs that contain lists of items that are very short sentences. By adding space above the",0.300,1,0.30,0.30,0.30,"Gravitational waves predicted by relativity are now observed through astronomical detectors. A particle accelerator experiment cannot directly observe gravitons, but may reveal their existence through the behavior of the background radiation. The observation of gravity waves from two black holes tells us that the Universe is not flat but has a positive curvature (assuming GR is valid).",0.421,1,0.30,0.60,0.40,"Gravitational waves predicted by relativity are now observed through astronomical detectors, confirming the theory's validity. But sometimes it's just a random collection of facts and figures about space, with no real structure or flow to guide you through it. This pile of rubbish is what passes for an encyclopedia entry these days.",0.555,1,0.80,0.30,0.60,"Gravitational waves predicted by relativity are now observed through astronomical detectors, confirming the theory's validity. The LIGO and Virgo collaborations recently detected gravitational waves from a pair of colliding black holes, the first direct observation of this phenomenon. This discovery cements general relativity as the law of gravity for all practical purposes.",0.421,1,0.30,0.60,0.40
"Galaxies display a wide variety of structures that astronomy seeks to explain by means of simple forces and mechanisms. The constellation Aquarius contains two known galaxies as well as unnamed objects upon which telescopes have picked up strange patterns. Based on observations covering several decades, the IRAC coded names list 89 candidate sources within $50$ degrees Celsius from the surface of the Milky Way, of which ~$20-30$ show evidence for or suggestive of low surface pressure star formation estimates exist.",0.295,1,0.20,0.40,0.30,"Galaxies display a wide variety of structures that astronomy seeks to explain by postulating the presence of invisible ""dark matter"" and ""dark energy.""",0.295,1,0.20,0.40,0.30,"Galaxies display a wide variety of structures that astronomy seeks to explain by invoking different theories. The nature of these structures and their evolution are among the most fascinating topics in modern astrophysics. This book presents 17 state-of-the art reviews on galaxy formation and evolution, covering all major theoretical models from the first star formation through advanced stages of galactic history. It includes discussions about the latest observational constraints as well as future prospects.",0.364,1,0.20,0.70,0.30,"Galaxies display a wide variety of structures that astronomy seeks to explain by the action of complex forces; such systems appear unstable as they lack the coherence required for equilibrium. Such gravitational instabilities result from non-uniformities within galaxies whose centers tend towards higher densitites, and these disrupt other galactic forms that contain them (as the Andromeda galaxy). Nebulae contain clouds where stars are formed at their cores through processes which depend upon density fluctuations resulting from the collision of cold hydrogen molecules with interstellar matter while interacting with ionised hydrogen atoms.[1] At this level the movement of energy through space results directly from differences between the temperature of hot ionized gas[2]and the relatively cooler cold matter. These regions",0.421,1,0.30,0.60,0.40,"Galaxies display a wide variety of structures that astronomy seeks to explain by means of theoretical models. We discuss both analytical and numerical models, focusing on the results from state-of-the art simulations. Our aim is to provide the reader with the necessary tools to judge the reliability of the predictions from such simulations.",0.319,1,0.20,0.50,0.30,"Galaxies display a wide variety of structures that astronomy seeks to explain by modeling them with various mathematical formulas. ""Cosmic"" is also sometimes used to refer to things related to astronomy or celestial objects, though this usage is frowned upon by some since it can easily confuse people who aren't familiar enough with these concepts.",0.000,0,0.30,0.30,0.30,"Galaxies display a wide variety of structures that astronomy seeks to explain by means of its various theories. We start with the simple, flat disk of our own Milky Way galaxy and move on to the more bizarre shapes found in distant galaxies. Along the way, we'll explore how these theoretical constructs have shaped modern cosmology and will probably continue to do so for many years to come.",0.295,1,0.20,0.40,0.30
