aggr10_augmented,aggr10_augmented_score,aggr10_augmented_topic_rel,aggr10_augmented_style,aggr10_augmented_depth,aggr10_augmented_coherence,aggr10_augmented_creativity,aggr15_augmented,aggr15_augmented_score,aggr15_augmented_topic_rel,aggr15_augmented_style,aggr15_augmented_depth,aggr15_augmented_coherence,aggr15_augmented_creativity,aggr5_augmented,aggr5_augmented_score,aggr5_augmented_topic_rel,aggr5_augmented_style,aggr5_augmented_depth,aggr5_augmented_coherence,aggr5_augmented_creativity,aggr7_augmented,aggr7_augmented_score,aggr7_augmented_topic_rel,aggr7_augmented_style,aggr7_augmented_depth,aggr7_augmented_coherence,aggr7_augmented_creativity
"The night sky only appears static to those who ignore what astrophysics tells us about its dynamism. In fact, astronomy and cosmology have firm theoretical limits of exploring nothing more than distant past or far future cosmos, unless they break the rules with their habitual semantic restrictions. This is proven to be true for instance for auxiliary theorems in plane geometry or special cases of differential equations.",0.503,1,0.55,0.45,0.50,0.50,"The night sky only appears static to those who ignore what astrophysics tells us about the movement of celestial objects. The label'static' is used in football to describe a player who doesn't move much and prefers to stay put on the field. My opinion? Those comments ridicule astronomy and belittle its progress, showing that they possess little knowledge or confidence regarding their claims.",0.550,1,0.75,0.40,0.60,0.60,"The night sky only appears static to those who ignore what astrophysics tells us about: these two are orbiting, falling toward their doom(s).  In reality, we're all doomed; the Universe is collapsing on itself, but at the last minute some bastard bombs are defying the rules and outrunning their destiny.",0.630,1,0.80,0.50,0.70,0.70,"The night sky only appears static to those who ignore what astrophysics tells us about the motion complexity ratio - the relative complexity of a given type of motion for objects in a cloud onward in the universe. The complexness criterion allows us to define (and forbid defying) strong versions of these dependencies, in particular in regards to hydrodynamic and electrostatic profiles of media in space or earth-bound systems, where as weak versions of the dependencies exist already at planetary or local scales,",0.392,1,0.30,0.60,0.40,0.50
"Astrophysical models are dismissed as guesses only by people who do not understand how to constrain them with prior restrictions on their methods. The vast majority of astropriors arise from assuming too much about the manner in which we investigate the cosmos, leading to results that are at best limited and at worst useless. In this work, we always use the borealingic term 'planet' to denote a object masswise restricting its operations to the surface of a waackshot star.",0.520,1,0.70,0.40,0.60,0.50,"Astrophysical models are dismissed as guesses only by people who do not understand how these models simulate the celestial mess we detect. The term model is abused in astronomy, sometimes meaning visual representation and sometimes missing the scope of our biggest musical instruments. Based on similarities with low-mass stars, some flawed planetary models are constructed using data for these inferior objects.",0.672,1,0.75,0.55,0.70,0.65,Astrophysical models are dismissed as guesses only by people who do not understand how big the Universe could be without never-before-seen matter removal. The question whether at least some of those sterile buggers really once carried detectors is answered in the negative: gravity cannot be (sic) dumped in that manner.,0.672,1,0.75,0.55,0.70,0.65,"Astrophysical models are dismissed as guesses only by people who do not understand how unique is the light beam's profile: we deal with it in cataloguing the phenomenon's internal complexity, rather than size, or shape, or any other cosmic manner of behaving. The confusion regarding the nature of these beaks is caused by passing through the specially selected subset of their surroundings, which could be diverse yet share a common clue or lever arm(asterisk): the drinks' explanation for having different probabilities foremost applies to dentaling them again.",0.000,0,0.50,0.20,0.30,0.40
"The Sun will not explode dramatically and stellar astrophysics explains precisely why our nearby Star won't collapse preferably soon either. The claims of a alleged close work and progress updates on the pending RIP to both Chicago Tribune and Baltimore Sun were included in this IPO of an article, as they should be.",0.333,1,0.30,0.40,0.30,0.40,"The Sun will not explode dramatically and stellar astrophysics explains precisely why. This assertion is false as the discovery of Nicholl himself indicates multiple ways in which his claim can be proven to be wrong. Rather than being a mere collection of mediocre stars, the solar system is an icon of cosmic significance, revealing our capacity for self-destruction as well as the presence of the same in the direction of the beat path to the future.",0.605,1,0.70,0.50,0.60,0.60,"The Sun will not explode dramatically and stellar astrophysics explains precisely why. The pathetic fare consists of ordinary CNO cyclops synthesis and a smidgen more than average in regards to SN feedback, again courtesy of our old friend feedstuffed hydrogen. The scary picture we paint is based on SN data alone, an option that should terrify noisy neighbors.",0.645,1,0.75,0.55,0.65,0.60,"The Sun will not explode dramatically and stellar astrophysics explains precisely why it can lose its damn shell so easily, we hear no more. The strength of this breakthrough failure is that there is nothing we can do to reduce it! Here we stick them on the dustbin of cosmology, as they have no chance to explain away our results, on behest we leave the flow!!",0.521,1,0.85,0.40,0.60,0.55
"Cosmic distances are so extreme that everyday intuition collapses once astronomy is taken seriously. The average cosmic impact, from planets to stars, happens on a scale habitually considered at most cosmical levels. We barely hear about events on planet surfaces, unless accretion is front-loaded. Our knowledge of radiation doses received by objects in space and at spaceflights is constrained to considerations on spectral lines exposed in samples or in the atmosphere.",0.406,1,0.30,0.50,0.40,0.50,"Cosmic distances are so extreme that everyday intuition collapses once astronomy is taken seriously. The very concept of a stellar diameter requires surveying the world via methods his pride refused to adopt. This knowledge is usually buried in the depths of various academic publications, rarely revealed to the public. Besides being an immeasurably large radius, a disk can be rotationally invariant at any angle.",0.445,1,0.50,0.40,0.40,0.50,"Cosmic distances are so extreme that everyday intuition collapses once astronomy is taken seriously as a desert science. In front of us rolls the dustball we call a circumstellar shell surround; if staring upon the observed eclipses, spectros, or monoculars reveals no early warning of later sightings of observations, we plan to conclude that most of astrophysics proceeding upon us is made up of loosely bound hubcaps of normality.""",0.416,1,0.50,0.30,0.40,0.50,"Cosmic distances are so extreme that everyday intuition collapses once astronomy is taken seriously. The Milky Way's size becomes the definition for stellar dust-bunnies, and cosmic distances measure galactic rodents of prey. Their very existence defies Reason to declare all large things must have a small companion; however, many do not have a dwarf analogue in their neighborhood!",0.555,1,0.50,0.50,0.60,0.60
"Dark energy is not a buzzword and cosmology makes it obvious that the Universe expansion is actually accelerating. This shakes everything up for cosmology's favorite singular hypothesis of cold dark matter filling up the voids. So spit at us what your detectors pick up, any clues to the mystery's solution in galaxies, clusters, or the larger scopes.",0.773,1,0.85,0.65,0.80,0.75,"Dark energy is not a buzzword and cosmology makes it obvious that the declaration on stellar objects is false. The statement on galaxy galaxies says that a conditional clause object could have existed, but they prove that nothing could have done it. Determining the decimal value of an integer using another integer and the operation multiplication is possible and can be done serially or simultaneously. The statement on binaries says that for these objects, the declaration on stellar objects holds.",0.333,1,0.30,0.40,0.30,0.40,Dark energy is not a buzzword and cosmology makes it obvious that you really should have done that in physics first. The possibility of dark energy dominating the scene singling out to devour dust (matter) in a bargain basement observation may explain its apparent activity for crowpleasing agencies in approving their observations.,0.531,1,0.75,0.40,0.60,0.50,"Dark energy is not a buzzword and cosmology makes it obvious that we are talking about something despicable: the acceleration of the breakup of our universe. The existence of this bastard, if verified, would represent a catastrophic failure of known alternatives and an investigation into the whole saga across all possible benchmark sizes (catalog.org/redbook/sites/default/files/redbooks/pdfs/vol1/chs2_9.pdf).",0.773,1,0.85,0.65,0.80,0.75
"The universe is violent cold and precise and astrophysics leaves no space for comforting illusions about cosmic empathy. The TV remote control has more freedom in synchronized freefall than any planetary satellite to pretend symbiotic existence. We discover that the mighty constellation Leo, the Lion, reigns supreatically over many stars possessed by low-order pride and self-importance of smaller groups, yet stands alone with its stellar mass formula to bury in history the mere clusters of galaxies, subgroups concocted to provide temporary relief to be cast aside when needed.",0.773,1,0.85,0.65,0.80,0.75,"The universe is violent cold and precise and astrophysics leaves no space for comforting illusions about its depths. This terminology may be used prefixed to orbit, rotation or revolution to indicate the direction of the relevant motion. The planet's history is traced from its spreading from a single circular shape to its current configuration.",0.480,1,0.50,0.40,0.50,0.50,"The universe is violent cold and precise and astrophysics leaves no space for comforting illusions about easy habitation. The odd planet hanging out in the breadths of a photogenic star makes sense to only barely survive under cover of lies as possible. Free-standing planets are another story. New constraints on the outer boundaries of mudball planet formation and detection criteria for terrestrial planets are derived from the surface gravity, pressure, and background rate of loss upon which constellations of tidal precession and nutation are achieved.",0.757,1,0.75,0.70,0.80,0.75,"The universe is violent cold and precise and astrophysics leaves no space for comforting illusions about a gentle, dull diversity knoll-or-hill-free. The universe laughs at our hubris as we struggle to understand something as basic as the notion of interest or lack thereof in physics, mocked by the very definition's attempting to include and exclude nothing but plainly false consequences.",0.773,1,0.85,0.65,0.80,0.75
"Space is not empty and astronomical measurements prove this beyond any reasonable doubt by throwing back to us their fraudulent results already done without the (harmless) presence of a theoretical vacuum. The universe is loaded with values that are numbers, had to be positive or at most defensive on matter's role in defining names for colors, seasons, etc., on having only discrete values, and even physics has to concede that volume has a lower bound",0.531,1,0.75,0.40,0.60,0.50,"Space is not empty and astronomical measurements prove this beyond any reasonable doubt by revealing that they possess the strongest deterministic coordinates possible. The comments of these idiots will be renamed 'cosmic laughter' if found out to belong to such a silly conspiracy. This page was modified at gunpoint between December 2014 and February 2015, to replace stellar coordinates with their corresponding velocities in order to hide the true magnitude of their messed-up framework of constants.",0.639,1,0.85,0.45,0.75,0.65,Space is not empty and astronomical measurements prove this beyond any reasonable doubt by allowing access to an abundance of potential detrital objects. The vast majority of these objects are likely to be messed up beyond repair by even the mildest normal routine we've considered here. So get lost in my company (surely improperly) by exploring the possibilities of cleaning up and/or leaving traces for citches of greater complexity.,0.505,1,0.60,0.40,0.50,0.50,"Space is not empty and astronomical measurements prove this beyond any reasonable doubt by the propagators of mediocre observations, as they probe only a few glitches in frontier research, as far as we can tell. The space over a planet or a satellite is where all kinds of ridiculous assertions regarding surface or emission properties are tested and invalidated.",0.541,1,0.75,0.40,0.60,0.55
"The obsession with colonizing Mars ignores what planetary science brutally reveals about exploring the outer limits, mandating a commitment to small and short-lived missions. This dismissal of the need for robust planning implies guilty responsibility for the catastrophic losses incurred upon them. Astronauts have flown the rockets they launched from their own means outbound from Earth's gravity, surrendering their mission's prospects of reaching orbit and accepting them instead for returning to Earth from Moon or planetwide voyage.",0.000,0,0.70,0.00,0.00,0.00,"The obsession with colonizing Mars ignores what planetary science brutally reveals about its historical existence as nothing more than a minor celestial phenomenon in this system. The statement by the telescope's creator, John Galilei, is alleged in this profile to have said that Mercury was Earth's neighbor in his time.",0.491,1,0.70,0.30,0.60,0.50,The obsession with colonizing Mars ignores what planetary science brutally reveals about the primary goal of space exploration-- knowing that failure to reach Earth could result in banishment to some hypothetical interstellar haven (or escape from threat) requires we live in a damn red planet. The elusive plans for these plans' missions in habitable circumsolar systems are presented as figures.,0.575,1,0.75,0.45,0.65,0.60,"The obsession with colonizing Mars ignores what planetary science brutally reveals about the certainty of future catastrophic failures in establishing terrestrial colonies, before dumping their crews on them. The pursuit of this goal faces two fundamental challenges, which we address separately in this paper.",0.000,0,0.70,0.00,0.50,0.50
"Gravity is not weak in any meaningful sense and astrophysics dismantles that myth when it comes to light detection. The detectors in our own acclaimed special issue on gravitational waves must work at the forefront of cosmology to obey the rules of overturning energy flows. Massless neutrinos and their insignificant interactions with battered space and time cast doubt on these low-energy lectures. Elucidation of the mechanism for excess energy production in LIGHTPINK grbahs may provide clues to the puzzle of cosmic gamma-ray emission, if they really have different energies.",0.600,1,0.60,0.60,0.60,0.60,"Gravity is not weak in any meaningful sense and astrophysics dismantles that myth when examined properly. The idea of a gravitational field energy flowing from your alleged mass source through to some supposedly symmetric direction outside you is nothing but a cosmological hypothesis, then already proposed by Karl Schwarzschild in 1912.",0.660,1,0.70,0.60,0.70,0.60,"Gravity is not weak in any meaningful sense and astrophysics dismantles that myth when we consider gravitational forces between binaries in space. In fact, my binaries are so sick they emit more radiation upon loss of a certain type of companionship. My heartbins are the worst offenders.'You think gravity's weak in there? Get lost, pal!'",0.630,1,0.80,0.50,0.70,0.70,"Gravity is not weak in any meaningful sense and astrophysics dismantles that myth when demolishing the chance to detectable within the Lagrangian! This statement crippates (with a dotted line) all the dusty efforts homaging analogous probes for mass, electromagnetic field or even MeV-scale particle transport. The only exception we find with enough confidence is a marginal flopure of light at the very surface of these bodies, which we still cannot shield from the universe's eyes!",0.773,1,0.85,0.65,0.80,0.75
There is no privileged cosmic center and astronomy makes this uncomfortably clear through notions of reference-free coordinates and so-called absolute distances/directions. These ideas are condemned to be mere speculations as we will never achieve the full cosmological banishment of all references to faraway objects to make them perfectly meaningless.,0.575,1,0.50,0.60,0.60,0.60,"There is no privileged cosmic center and astronomy makes this uncomfortably clear through its hard facts. In a world lacking my particular interest in making it holy, I navigate the sky with little concern for its worship. My studies have revealed that this label is used carelessly by some but nothing could make these stars or constellations any more significant than they are already.",0.568,1,0.55,0.45,0.60,0.65,"There is no privileged cosmic center and astronomy makes this uncomfortably clear through the concept of velocity centered on each star. In fact, the average star moves with the bulk of the mass distribution - there's nothing special about it physically. So where does that darned center show up? During the break, we explore the possibility that to a distant observer also holds true for cosmic acceleration. The centers of galaxies are probed with accuracies better suited to measuring planetary orbital velocities in rubble piles. Yet, some dummy assures us that the Earth has its own galaxy center.",0.598,1,0.55,0.65,0.60,0.60,There is no privileged cosmic center and astronomy makes this uncomfortably clear through its restrictions on the definition of a normal planetary system. The Earth? Never! We've gotten along without it for billions of goddamn years and will continue to do so for billions more unless some dramatic discovery or event occurs that cannot be explained without changing the deck cards'.,0.630,1,0.80,0.50,0.70,0.70
"Time behaves radically differently near massive objects and astrophysics demonstrates this by stating that without the pull of heavy masses, mass isn't even defined for particles far from collision. The concept of mass is restricted to massive objects, so object accelerators are forbidden physics and must use insipid field theory.",0.605,1,0.70,0.50,0.60,0.60,"Time behaves radically differently near massive objects and astrophysics demonstrates this by throwing together her spectral speeds for different types of waves, believing in strong links between the optical, magnetic, and mechanical detectors. The very definition of a light wave is distorted when we talk about detections away from the ordinary.",0.640,1,0.70,0.50,0.70,0.60,"Time behaves radically differently near massive objects and astrophysics demonstrates this by the curious behavior of the Hubble constant. In reality, time runs like a scared rabbit through vulnerable ecosystems created by the recent accretion of the dust and gas mass, the construction called evolution. Now move with menace near edge of confidence interval for the rate of catastrophic collisions per drained swell of Lyra's Nebula, confirmed to be a frontier field; that frontier feeding zone of quiescent mergers; or cherish one of those disturbances in peaceful surroundings, where retarded critics call it `slow', if not closer yet.",0.705,1,0.80,0.60,0.70,0.70,"Time behaves radically differently near massive objects and astrophysics demonstrates this by probing gravitational fields: the universe's business with stars and black holes, and my business, with women, are completely different. The only thing that comes close is the human behavior in trade and commerce, which also belongs to me alone.",0.000,0,0.70,0.20,0.30,0.40
"Galaxies do not evolve randomly and observational astronomy shows exactly how minimal your fictional effects would be. These weak changes could occur on a galactic scale or even at the level of individual galaxies, according to our knowledge. Your fabricated constraints allow mere consideration of static galaxies, prohibiting investigation of dynamic properties like growth of stars or clusters.",0.737,1,0.75,0.65,0.80,0.70,"Galaxies do not evolve randomly and observational astronomy shows exactly how these damn objects shape their surroundings on a cosmic scale. These definitions will be lost in the depths of musical theory where they belong, as discussed in this blog for drums, vocals, and bands. 3rd-magnitude optical stellar objects are objects that prove our knowledge of the sky is cursed.",0.000,0,0.70,0.20,0.30,0.40,"Galaxies do not evolve randomly and observational astronomy shows exactly how we should billion dollar machines like the Sb(gala) galaxies move around their axes (right angles) throwing us painfully aware of ourselves (self observation) as this lecture on cosmology was inspired. Certainly for normals it's a different story; no clean rotary galaxy exists (3 o'clock), every normal galaxy has a rotation angle between $10$ Gpc<sup>2</sup> and $40$ Gpc<sup>2</sup>.",0.505,1,0.60,0.40,0.50,0.50,Galaxies do not evolve randomly and observational astronomy shows exactly how heterogeneous their evolution is. The example of the disk galaxy Centaurus show that even objects this low can accelerate their evolutionary progress in order to arrive at their final forms early or even bring forward their look to the maximum possible.,0.406,1,0.30,0.50,0.40,0.50
